Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2022-02-26,Widget D,West,426,52,Female,4.22711257002526
2022-02-27,Widget A,East,641,43,Male,1.62766908814891
2022-02-28,Widget C,West,746,33,Male,1.06009016792227
2022-03-01,Widget A,South,678,23,Female,2.25085318056583
2022-03-02,Widget C,South,164,61,Female,3.35257482691839
2022-03-03,Widget C,West,391,60,Female,1.55313269361899
2022-03-04,Widget A,West,124,64,Female,2.70448948388994
2022-03-05,Widget A,North,648,64,Female,3.20928598949711
2022-03-06,Widget C,South,100,65,Male,3.39553237902927
2022-03-07,Widget B,West,648,59,Female,2.0976468840015
2022-03-08,Widget D,West,240,29,Male,2.60011854394517
2022-03-09,Widget A,South,843,30,Male,4.11335691627023
2022-03-10,Widget D,West,747,21,Male,4.76485877648274
2022-03-11,Widget B,North,287,56,Male,4.44752132447303
2022-03-12,Widget B,South,227,19,Male,3.25713400693373
2022-03-13,Widget B,North,300,43,Female,2.64117121177579
2022-03-14,Widget A,North,226,44,Female,2.33182645748567
2022-03-15,Widget B,North,356,44,Male,1.49982626433607
2022-03-16,Widget A,North,775,32,Male,1.42620498886445
2022-03-17,Widget B,South,646,25,Female,3.75343049965463
2022-03-18,Widget D,North,293,24,Female,2.03917766468464
2022-03-19,Widget D,North,802,64,Male,2.01864674572979
2022-03-20,Widget C,West,203,63,Female,4.99278021791114
2022-03-21,Widget D,South,634,57,Female,1.75170383149518
2022-03-22,Widget C,South,364,29,Female,1.59223903795532
2022-03-23,Widget D,East,901,30,Male,1.39474091103968
2022-03-24,Widget A,South,483,60,Female,3.31922138066718
2022-03-25,Widget D,South,359,34,Male,3.51145530400841
2022-03-26,Widget C,East,513,34,Male,2.46091170502753
2022-03-27,Widget C,South,457,53,Male,3.14165334204587
2022-03-28,Widget B,South,174,38,Male,4.15359812377965
2022-03-29,Widget A,South,454,25,Male,4.27241667328699
2022-03-30,Widget D,South,683,22,Female,4.83164830286259
2022-03-31,Widget B,East,870,43,Male,4.2970719436915
2022-04-01,Widget D,South,287,33,Male,3.25936574686971
2022-04-02,Widget D,South,784,53,Male,1.71862786334738
2022-04-03,Widget B,East,389,45,Female,1.39905423081137
2022-04-04,Widget B,West,144,46,Female,1.21804755964344
2022-04-05,Widget B,North,672,64,Female,3.66610332714154
2022-04-06,Widget B,West,182,29,Female,4.23014502159197
2022-04-07,Widget B,East,222,54,Female,3.03473580273632
2022-04-08,Widget D,North,457,47,Female,1.21885669933456
2022-04-09,Widget B,East,627,40,Female,3.14188229836535
2022-04-10,Widget A,East,165,33,Male,4.7429970460982
2022-04-11,Widget C,South,756,31,Male,3.39045276372984
2022-04-12,Widget B,North,474,27,Female,4.23770995385126
2022-04-13,Widget B,South,261,24,Male,4.200610593567
2022-04-14,Widget D,North,845,62,Male,4.72851639912261
2022-04-15,Widget B,East,479,69,Female,4.08091506259949
2022-04-16,Widget B,East,755,54,Male,3.99080205605236
2022-04-17,Widget B,West,457,46,Male,1.93641065988256
2022-04-18,Widget D,North,287,20,Female,1.23970062128433
2022-04-19,Widget B,South,421,32,Male,3.07039786021523
2022-04-20,Widget C,West,549,53,Female,1.49773683178702
2022-04-21,Widget D,West,573,64,Female,4.84878350511197
2022-04-22,Widget C,West,112,63,Male,2.15969905053211
2022-04-23,Widget D,South,283,69,Male,4.41177681353717
2022-04-24,Widget B,West,210,36,Male,2.55049850080984
2022-04-25,Widget C,South,607,30,Female,2.29277699942951
2022-04-26,Widget D,West,389,59,Female,4.74063428950649
2022-04-27,Widget A,South,394,38,Female,2.4532902883449
2022-04-28,Widget B,East,550,54,Male,2.56115163465255
2022-04-29,Widget D,East,314,44,Male,1.42436711845164
2022-04-30,Widget A,East,731,69,Female,3.68178666113004
2022-05-01,Widget D,East,993,46,Male,2.15535765791005
2022-05-02,Widget A,East,666,37,Male,3.34241667135803
2022-05-03,Widget B,West,126,42,Female,3.36540681621284
2022-05-04,Widget C,West,729,23,Female,3.87679878238307
2022-05-05,Widget A,West,832,53,Male,3.98096594468977
2022-05-06,Widget D,South,330,19,Female,3.05780973760616
2022-05-07,Widget B,South,664,39,Male,2.32396779041361
2022-05-08,Widget A,South,906,49,Female,4.34980357933894
2022-05-09,Widget D,South,420,33,Female,2.23946259763394
2022-05-10,Widget D,East,332,35,Female,3.03003637787733
2022-05-11,Widget D,East,769,22,Male,2.60501033281491
2022-05-12,Widget A,East,536,53,Male,4.42031354387875
2022-05-13,Widget A,North,880,47,Female,2.72767412458332
2022-05-14,Widget A,West,632,62,Female,2.54439675534994
2022-05-15,Widget C,South,502,36,Female,3.75929477159055
2022-05-16,Widget A,South,152,40,Male,3.40976443944577
2022-05-17,Widget A,East,886,51,Female,1.42898733398338
2022-05-18,Widget A,South,412,30,Female,3.03267522537585
2022-05-19,Widget C,South,380,60,Female,3.94191355333299
2022-05-20,Widget A,West,825,46,Female,4.96829905836542
2022-05-21,Widget D,East,130,53,Male,3.51658733588128
2022-05-22,Widget A,West,436,39,Male,2.48117226576527
2022-05-23,Widget D,North,282,69,Female,1.90460639920847
2022-05-24,Widget D,North,122,69,Male,4.49132093661328
2022-05-25,Widget D,North,643,64,Male,4.25826084845401
2022-05-26,Widget C,East,545,53,Male,1.93569128311754
2022-05-27,Widget C,South,173,26,Female,1.80252836058629
2022-05-28,Widget C,East,109,56,Male,3.8605471072447
2022-05-29,Widget A,East,583,68,Male,2.25980824767504
2022-05-30,Widget D,South,555,36,Male,2.22559519344783
2022-05-31,Widget C,West,665,55,Female,1.60916098827062
2022-06-01,Widget C,North,663,23,Female,2.05590207883932
2022-06-02,Widget A,West,759,69,Male,2.7100302303706
2022-06-03,Widget C,North,259,64,Male,3.93135334908966
2022-06-04,Widget A,East,981,32,Female,2.345232377655
2022-06-05,Widget B,North,113,37,Female,2.31441735791937
2022-06-06,Widget C,East,277,26,Male,2.13965301020974
2022-06-07,Widget B,West,511,49,Male,2.91313467004417
2022-06-08,Widget A,East,977,21,Female,1.72254679176526
2022-06-09,Widget D,West,152,67,Female,2.9425229361285
2022-06-10,Widget C,South,507,35,Male,3.81670222477876
2022-06-11,Widget A,South,946,22,Female,1.11916201613049
2022-06-12,Widget D,South,121,37,Male,1.03911752122305
2022-06-13,Widget D,East,129,40,Male,1.30049164061804
2022-06-14,Widget B,South,802,28,Male,3.14264024691245
2022-06-15,Widget A,North,359,54,Female,4.41782033274161
2022-06-16,Widget D,West,304,39,Male,1.01953786408101
2022-06-17,Widget C,West,158,21,Male,4.74664521833872
2022-06-18,Widget C,North,570,46,Female,1.42511404628214
2022-06-19,Widget B,East,875,61,Female,4.36793411223291
2022-06-20,Widget D,East,565,51,Male,2.93141905993179
2022-06-21,Widget A,West,111,30,Male,3.63742954911538
2022-06-22,Widget C,South,730,59,Female,3.04273193778873
2022-06-23,Widget D,East,389,26,Female,2.90819290071742
2022-06-24,Widget D,East,949,59,Female,4.33959771345757
2022-06-25,Widget B,North,859,48,Male,4.02354551827127
2022-06-26,Widget C,North,453,24,Male,2.93360894609202
2022-06-27,Widget C,South,738,21,Male,1.44654371758425
2022-06-28,Widget A,East,174,36,Female,1.46161183725763
2022-06-29,Widget C,East,972,59,Male,4.2061578428763
2022-06-30,Widget A,North,815,47,Female,3.11756248539013
2022-07-01,Widget C,East,660,48,Male,2.92635656087745
2022-07-02,Widget B,West,690,52,Female,3.72226736544286
2022-07-03,Widget C,North,540,38,Male,4.43536633365704
2022-07-04,Widget A,South,340,48,Male,3.51549257765322
2022-07-05,Widget A,North,960,36,Female,4.05139160938592
2022-07-06,Widget B,East,253,48,Female,4.06108209646783
2022-07-07,Widget C,South,885,49,Male,2.42504579517184
2022-07-08,Widget C,North,195,19,Female,2.09633278256398
2022-07-09,Widget B,West,825,69,Female,4.20465626870064
2022-07-10,Widget C,West,393,27,Male,2.50871516713697
2022-07-11,Widget C,North,308,19,Female,4.61334402609082
2022-07-12,Widget A,West,442,19,Male,1.27876278692048
2022-07-13,Widget C,West,187,41,Male,1.23287004830136
2022-07-14,Widget C,West,917,34,Female,4.70801664040563
2022-07-15,Widget B,South,875,49,Female,3.59381965672574
2022-07-16,Widget B,West,489,33,Male,2.51839742579333
2022-07-17,Widget D,West,424,33,Male,4.02024165926473
2022-07-18,Widget A,West,988,63,Male,3.68930723997457
2022-07-19,Widget C,South,931,56,Male,3.12480418727839
2022-07-20,Widget C,North,256,48,Male,1.39549337065061
2022-07-21,Widget D,East,767,60,Male,4.24871834917101
2022-07-22,Widget C,West,750,41,Female,4.4640927627225
2022-07-23,Widget A,North,732,18,Female,1.6886747542106
2022-07-24,Widget D,West,676,28,Female,4.40204660790827
2022-07-25,Widget A,South,718,38,Male,4.51138924406626
2022-07-26,Widget D,North,758,21,Female,3.19771444915406
2022-07-27,Widget D,South,236,24,Male,3.62471614489075
2022-07-28,Widget B,West,773,43,Male,2.52894928005797
2022-07-29,Widget A,West,527,64,Female,2.12716659003706
2022-07-30,Widget C,South,551,67,Male,3.88793258780658
2022-07-31,Widget C,East,711,29,Male,4.44750059606323
2022-08-01,Widget A,South,949,48,Male,3.61631021182299
2022-08-02,Widget C,West,918,34,Male,3.0463624425862
2022-08-03,Widget C,South,240,50,Male,1.63569906737669
2022-08-04,Widget A,East,182,28,Male,1.21383485041927
2022-08-05,Widget D,South,276,45,Female,2.78276716098699
2022-08-06,Widget A,East,297,49,Male,1.19739825478969
2022-08-07,Widget D,East,723,18,Male,3.2773385276289
2022-08-08,Widget C,South,667,64,Male,2.53091676527109
2022-08-09,Widget C,South,790,45,Male,4.02875647872788
2022-08-10,Widget C,North,520,59,Female,2.22259398734473
2022-08-11,Widget B,West,500,24,Female,3.37193080386973
2022-08-12,Widget D,East,797,19,Male,3.1507340870204
2022-08-13,Widget B,North,570,59,Male,1.01884970208896
2022-08-14,Widget B,South,317,41,Male,1.28955759305724
2022-08-15,Widget A,West,927,21,Female,2.16147284994408
2022-08-16,Widget B,North,828,61,Female,4.52894032408306
2022-08-17,Widget A,East,731,36,Female,1.58805981959911
2022-08-18,Widget A,North,274,43,Female,3.84357732184217
2022-08-19,Widget B,East,122,28,Male,4.89346626460915
2022-08-20,Widget D,South,824,57,Female,4.16227021076462
2022-08-21,Widget D,West,334,67,Female,1.97178144674818
2022-08-22,Widget D,West,112,60,Male,4.63346104165233
2022-08-23,Widget D,West,200,28,Male,1.37242862603356
2022-08-24,Widget D,South,635,62,Female,2.87256776748294
2022-08-25,Widget B,East,975,20,Female,4.55016763090566
2022-08-26,Widget B,South,622,29,Female,3.56506283702748
2022-08-27,Widget C,West,884,20,Female,2.6545782589108
2022-08-28,Widget D,South,551,59,Male,2.17125146694868
2022-08-29,Widget B,South,530,44,Male,2.5003976212734
2022-08-30,Widget C,South,892,66,Female,3.03576712403715
2022-08-31,Widget D,East,705,19,Female,2.27617571949123
2022-09-01,Widget A,North,812,66,Female,4.8758714483292
2022-09-02,Widget C,North,632,33,Female,4.73231061226458
2022-09-03,Widget B,South,951,19,Female,4.48268587285728
2022-09-04,Widget A,North,822,47,Male,2.68731934209061
2022-09-05,Widget A,North,751,37,Male,3.76520707734092
2022-09-06,Widget A,South,392,55,Male,4.61131722814386
2022-09-07,Widget C,South,909,45,Female,4.40171795071571
2022-09-08,Widget B,West,200,42,Female,2.65730805608083
2022-09-09,Widget A,North,601,49,Male,1.44954419728904
2022-09-10,Widget D,East,403,27,Male,1.3025214553382
2022-09-11,Widget A,South,970,59,Female,3.30825618090281
2022-09-12,Widget A,West,639,57,Male,3.57051174084373
2022-09-13,Widget C,East,652,50,Female,4.3993704183881
2022-09-14,Widget C,North,454,30,Female,2.17006008136412
2022-09-15,Widget B,West,402,58,Male,1.66988196220017
2022-09-16,Widget D,South,595,59,Male,2.5160233327128
2022-09-17,Widget C,East,757,64,Male,2.4143004945291
2022-09-18,Widget A,South,867,54,Female,1.52987581607142
2022-09-19,Widget B,North,326,33,Female,3.68913061005261
2022-09-20,Widget A,East,335,62,Male,3.0347677629175
2022-09-21,Widget A,North,972,39,Female,3.88449102445907
2022-09-22,Widget C,North,991,37,Female,2.41076448067894
2022-09-23,Widget B,West,554,67,Female,2.30280884631081
2022-09-24,Widget D,South,112,60,Male,2.89030341217542
2022-09-25,Widget D,East,309,44,Female,4.50962938158059
2022-09-26,Widget C,North,840,58,Male,1.16112522693592
2022-09-27,Widget C,North,496,33,Male,4.21933126918589
2022-09-28,Widget B,East,199,51,Female,2.47595045063103
2022-09-29,Widget D,North,130,49,Male,4.41847610315391
2022-09-30,Widget D,West,997,43,Female,4.20881203534343
2022-10-01,Widget D,West,627,42,Male,2.39504498958435
2022-10-02,Widget A,West,748,19,Male,3.77550614128646
2022-10-03,Widget D,West,428,29,Female,1.63853102709376
2022-10-04,Widget A,North,265,57,Male,4.58512620865515
2022-10-05,Widget B,East,558,26,Male,2.61796425780764
2022-10-06,Widget A,East,921,29,Male,2.8225024614208
2022-10-07,Widget B,East,199,43,Female,3.82303620414794
2022-10-08,Widget D,East,720,26,Female,4.2833609468194
2022-10-09,Widget D,South,954,27,Male,1.94537097331284
2022-10-10,Widget B,East,272,49,Male,3.64540055950798
2022-10-11,Widget C,South,848,51,Male,2.56799217555659
2022-10-12,Widget B,South,261,65,Female,2.47481169601585
2022-10-13,Widget C,West,827,37,Female,3.76010329576262
2022-10-14,Widget A,South,875,56,Male,2.54873309662374
2022-10-15,Widget A,North,362,19,Female,2.38443400065763
2022-10-16,Widget A,South,903,18,Female,4.34355363250497
2022-10-17,Widget D,West,373,68,Female,1.40510449532403
2022-10-18,Widget A,South,102,53,Female,3.70357049132084
2022-10-19,Widget C,North,127,41,Male,1.9949015751625
2022-10-20,Widget A,North,425,44,Female,1.06199296730476
2022-10-21,Widget B,North,248,19,Female,1.66705707549077
2022-10-22,Widget B,West,639,48,Male,3.42664611910347
2022-10-23,Widget D,West,587,31,Male,3.83650876594375
2022-10-24,Widget B,East,921,19,Female,1.08423113422528
2022-10-25,Widget C,West,537,46,Female,1.14570177320688
2022-10-26,Widget A,North,164,32,Male,4.61016845937181
2022-10-27,Widget D,North,455,29,Male,1.29322327245488
2022-10-28,Widget A,West,632,54,Male,4.57672863446629
2022-10-29,Widget A,South,351,45,Female,1.91266365500362
2022-10-30,Widget C,West,334,37,Female,3.96007120063285
2022-10-31,Widget B,West,326,56,Male,2.23893299578405
2022-11-01,Widget B,North,624,41,Female,4.43500810243674
2022-11-02,Widget A,East,412,38,Male,3.80181946169743
2022-11-03,Widget D,North,148,27,Female,2.60725383440678
2022-11-04,Widget B,East,217,63,Male,1.30520981669632
2022-11-05,Widget D,North,153,31,Male,3.93080073548323
2022-11-06,Widget B,West,749,54,Female,3.46753902386073
2022-11-07,Widget D,North,664,35,Female,1.01164687133516
2022-11-08,Widget C,North,143,41,Female,1.03767942388978
2022-11-09,Widget D,North,914,31,Female,4.23517189277078
2022-11-10,Widget C,West,152,51,Female,2.03759895520742
2022-11-11,Widget C,West,685,29,Female,3.54453467091226
2022-11-12,Widget D,West,657,39,Male,2.81685767906099
2022-11-13,Widget C,West,624,23,Female,4.45372005808707
2022-11-14,Widget A,East,776,53,Male,4.66784445240995
2022-11-15,Widget C,East,201,62,Male,4.98723085071542
2022-11-16,Widget B,South,891,53,Female,1.61473654322899
2022-11-17,Widget D,West,869,39,Male,4.4518561859019
2022-11-18,Widget A,East,948,31,Male,2.06408550691521
2022-11-19,Widget D,North,967,33,Female,3.36326349958203
2022-11-20,Widget B,West,497,53,Female,3.02309133547684
2022-11-21,Widget B,South,237,42,Female,1.07195252628955
2022-11-22,Widget B,South,774,49,Male,4.73108511962438
2022-11-23,Widget C,South,486,50,Female,1.31330822059687
2022-11-24,Widget C,North,210,62,Female,3.75287567763094
2022-11-25,Widget D,East,713,53,Female,4.14002734483305
2022-11-26,Widget D,North,116,37,Female,4.18115139619074
2022-11-27,Widget A,West,879,35,Male,1.54197807571538
2022-11-28,Widget A,South,281,55,Female,2.79027980203189
2022-11-29,Widget D,North,983,20,Male,4.31771548173592
2022-11-30,Widget C,North,635,40,Female,2.21071684151502
2022-12-01,Widget B,East,640,49,Male,2.87099470149865
2022-12-02,Widget D,East,270,62,Male,2.09117557079938
2022-12-03,Widget A,South,508,33,Male,2.8542056715413
2022-12-04,Widget C,North,839,22,Female,4.55135169037152
2022-12-05,Widget D,North,477,21,Male,2.82049692413108
2022-12-06,Widget D,East,287,38,Female,3.22364806829728
2022-12-07,Widget C,North,957,57,Female,2.61590513321233
2022-12-08,Widget D,North,329,68,Female,2.8404687328133
2022-12-09,Widget C,North,932,31,Female,1.06069679618569
2022-12-10,Widget B,East,951,56,Female,2.13498203984182
2022-12-11,Widget C,South,218,48,Male,2.7463268869673
2022-12-12,Widget C,West,255,31,Female,3.53518790397092
2022-12-13,Widget C,South,883,23,Male,2.80020772221557
2022-12-14,Widget D,West,786,29,Male,2.35126817328626
2022-12-15,Widget D,North,564,33,Male,2.55239494137663
2022-12-16,Widget C,South,203,34,Male,1.96917331680187
2022-12-17,Widget D,West,703,62,Male,4.69797713109621
2022-12-18,Widget A,East,797,40,Male,3.08697290316366
2022-12-19,Widget A,East,894,31,Male,1.05363781548849
2022-12-20,Widget D,South,601,24,Female,1.07778503367819
2022-12-21,Widget D,South,792,63,Male,4.89184653980817
2022-12-22,Widget C,North,781,49,Female,1.88580356549298
2022-12-23,Widget B,South,798,32,Male,4.22243315525726
2022-12-24,Widget D,North,274,61,Male,1.2331012062423
2022-12-25,Widget A,North,833,34,Male,4.6846509467782
2022-12-26,Widget C,East,844,58,Male,4.49766801466671
2022-12-27,Widget D,East,773,64,Female,3.28437264973806
2022-12-28,Widget A,West,520,61,Female,1.03599462913302
2022-12-29,Widget A,East,233,51,Female,2.03124349609335
2022-12-30,Widget B,East,490,22,Male,2.62729058959386
2022-12-31,Widget C,South,835,62,Male,2.84025646699025
2023-01-01,Widget C,East,600,44,Male,2.19071503424949
2023-01-02,Widget B,West,764,69,Female,1.13179147298212
2023-01-03,Widget B,South,132,40,Male,3.36050962370617
2023-01-04,Widget C,West,154,57,Female,3.09661867077902
2023-01-05,Widget C,East,618,31,Female,2.13200254171631
2023-01-06,Widget D,West,855,32,Male,1.15190387027843
2023-01-07,Widget D,South,924,60,Male,4.97837674888776
2023-01-08,Widget B,North,737,50,Female,2.92794474730562
2023-01-09,Widget D,West,111,48,Female,4.02401696709631
2023-01-10,Widget A,West,627,52,Female,2.80925614020534
2023-01-11,Widget D,South,819,34,Male,1.17268116345177
2023-01-12,Widget D,South,654,45,Male,2.238402980342
2023-01-13,Widget A,West,472,36,Male,2.2804405640236
2023-01-14,Widget B,East,583,63,Male,4.35341161619606
2023-01-15,Widget A,West,746,40,Male,3.6169199119995
2023-01-16,Widget D,South,327,49,Male,2.10171961455789
2023-01-17,Widget B,North,722,57,Female,4.87095981863634
2023-01-18,Widget D,North,406,30,Female,2.28616732959149
2023-01-19,Widget A,East,556,37,Female,4.99293610331488
2023-01-20,Widget A,West,259,52,Male,4.98465477268105
2023-01-21,Widget D,North,430,22,Female,1.76484207098697
2023-01-22,Widget C,West,875,26,Male,2.2509644647536
2023-01-23,Widget C,South,324,46,Male,2.94417679393862
2023-01-24,Widget A,North,828,23,Female,3.65640268459156
2023-01-25,Widget A,East,603,42,Male,3.1121897960152
2023-01-26,Widget C,South,555,48,Female,4.87776587652903
2023-01-27,Widget C,East,144,39,Female,3.89595665694277
2023-01-28,Widget D,South,313,19,Male,1.8481793975319
2023-01-29,Widget D,North,158,62,Female,1.42039020085455
2023-01-30,Widget C,East,743,22,Female,3.75360516283743
2023-01-31,Widget D,East,715,44,Female,1.63380976072305
2023-02-01,Widget D,South,294,42,Female,4.15070736134302
2023-02-02,Widget B,East,588,25,Male,2.24414666904135
2023-02-03,Widget D,South,256,18,Female,2.30757305222243
2023-02-04,Widget A,South,709,37,Female,1.04319356955805
2023-02-05,Widget D,South,325,61,Female,3.80404506838016
2023-02-06,Widget D,South,511,40,Male,1.45307901225874
2023-02-07,Widget C,North,304,49,Female,4.09152230985407
2023-02-08,Widget A,South,178,28,Male,2.96747128766883
2023-02-09,Widget D,West,223,56,Female,4.13711925981828
2023-02-10,Widget D,East,570,64,Female,3.33570615679097
2023-02-11,Widget B,West,317,41,Female,1.32973308807596
2023-02-12,Widget D,North,615,28,Male,4.06260934682073
2023-02-13,Widget D,West,701,46,Male,1.279197939579
2023-02-14,Widget B,East,203,43,Male,2.91480688227733
2023-02-15,Widget C,West,492,33,Male,1.68939685657985
2023-02-16,Widget D,North,730,52,Male,4.00934071191154
2023-02-17,Widget B,South,744,37,Male,4.64636491122451
2023-02-18,Widget A,West,923,63,Female,3.2165046534331
2023-02-19,Widget C,North,707,20,Male,3.10858917719672
2023-02-20,Widget A,North,533,18,Female,4.05585278530247
2023-02-21,Widget A,East,430,64,Male,1.02031525190291
2023-02-22,Widget B,East,242,18,Male,4.67103457054064
2023-02-23,Widget D,West,899,34,Male,1.78979526836453
2023-02-24,Widget B,South,639,19,Female,4.93647553530495
2023-02-25,Widget B,North,377,46,Male,3.94501579184185
2023-02-26,Widget B,West,332,37,Male,4.09700459080268
2023-02-27,Widget B,North,628,23,Female,3.62481192149443
2023-02-28,Widget C,North,670,25,Female,2.88665273114064
2023-03-01,Widget D,South,189,46,Female,3.28651077344466
2023-03-02,Widget A,South,591,65,Female,1.1856115440605
2023-03-03,Widget A,West,298,68,Male,3.49583803772806
2023-03-04,Widget D,South,461,50,Female,3.50439240794819
2023-03-05,Widget A,South,540,20,Male,4.56480318960724
2023-03-06,Widget D,West,125,52,Male,3.02262542972088
2023-03-07,Widget A,South,124,22,Female,1.30857749634424
2023-03-08,Widget B,East,493,44,Male,2.22478368192833
2023-03-09,Widget A,North,606,61,Female,3.62251764845727
2023-03-10,Widget D,North,400,29,Male,1.95703545100586
2023-03-11,Widget D,North,438,37,Female,2.1221112874216
2023-03-12,Widget D,North,366,62,Female,4.28187606544341
2023-03-13,Widget D,West,560,37,Female,3.33727892705084
2023-03-14,Widget D,North,792,26,Female,3.03410972709429
2023-03-15,Widget C,North,555,56,Female,2.27380786722322
2023-03-16,Widget C,North,459,21,Female,3.92371214373213
2023-03-17,Widget A,North,167,68,Male,2.15087373796012
2023-03-18,Widget D,East,962,36,Male,3.9482540705767
2023-03-19,Widget A,North,511,55,Male,1.28040592106977
2023-03-20,Widget D,East,590,44,Female,4.45816536632833
2023-03-21,Widget D,West,932,62,Male,2.99826585350373
2023-03-22,Widget C,South,148,60,Female,2.75403206679588
2023-03-23,Widget C,North,786,30,Male,3.4440936461677
2023-03-24,Widget B,South,663,30,Male,3.49676829158508
2023-03-25,Widget C,South,201,39,Female,1.52814070755998
2023-03-26,Widget B,West,315,45,Male,4.02493435926485
2023-03-27,Widget B,South,537,69,Male,2.10371319180025
2023-03-28,Widget B,East,799,64,Male,4.61984752067966
2023-03-29,Widget B,South,668,62,Female,4.27140265365933
2023-03-30,Widget B,South,658,39,Male,2.38506416613899
2023-03-31,Widget A,South,258,60,Female,4.23095717280286
2023-04-01,Widget C,North,588,36,Male,2.42556199719962
2023-04-02,Widget B,North,785,25,Male,1.40379072654416
2023-04-03,Widget D,East,341,69,Male,4.84755295490283
2023-04-04,Widget C,East,893,25,Male,3.61040806086176
2023-04-05,Widget C,North,852,59,Female,2.82439810665037
2023-04-06,Widget B,East,981,43,Male,2.59109340612416
2023-04-07,Widget A,North,104,65,Female,2.29882133703306
2023-04-08,Widget B,West,695,68,Female,4.92579038171652
2023-04-09,Widget A,South,919,43,Male,1.53898906052363
2023-04-10,Widget D,South,460,40,Male,2.25922023568227
2023-04-11,Widget C,East,558,60,Female,2.94199056113065
2023-04-12,Widget D,North,347,30,Female,2.91199818021725
2023-04-13,Widget A,North,665,45,Male,2.88546593763137
2023-04-14,Widget A,East,772,26,Male,1.70313526332153
2023-04-15,Widget D,North,521,37,Male,1.579730108438
2023-04-16,Widget A,West,837,36,Male,2.01907034531448
2023-04-17,Widget D,South,114,65,Male,4.65810461520822
2023-04-18,Widget C,East,835,56,Female,1.45221187133804
2023-04-19,Widget D,East,672,68,Male,4.0297004134933
2023-04-20,Widget C,North,221,29,Male,4.03019357253349
2023-04-21,Widget D,East,376,32,Female,4.23908161558905
2023-04-22,Widget A,West,657,48,Male,4.54646195595742
2023-04-23,Widget D,North,552,31,Male,2.05214471015572
2023-04-24,Widget A,North,489,28,Female,1.89823787707559
2023-04-25,Widget D,North,393,43,Male,2.86202266610992
